Month,Date,Daily total blocks,Daily total txs,Daily addresses,Daily gas used,Daily batches,Daily gas utilization (average gas used/gas limit)
Dec-23,2023-12-05,26198,69853,2355060,7733055014,288,2.96%
Dec-23,2023-12-06,26526,70109,2372743,7197913095,264,2.72%
Dec-23,2023-12-07,27558,89147,2395671,9357768909,335,3.42%
Dec-23,2023-12-08,28441,105705,2431785,10948316237,395,3.90%
Dec-23,2023-12-09,28657,278025,2583250,29209892713,1058,10.29%
Dec-23,2023-12-10,28522,135077,2597260,15127576217,534,5.35%
Dec-23,2023-12-11,27725,93149,2601455,10448717703,394,3.79%
Dec-23,2023-12-12,26762,77783,2606136,8663079950,318,3.25%
Dec-23,2023-12-13,25997,69375,2609159,7313763973,274,2.82%
Dec-23,2023-12-14,25239,94075,2612697,10436840455,329,4.14%
Dec-23,2023-12-15,28719,280617,2616090,58932633916,2180,20.54%
Dec-23,2023-12-16,28631,138088,2618663,23281360820,858,8.14%
Dec-23,2023-12-17,28565,194215,2623147,34201859558,1219,11.99%
Dec-23,2023-12-18,27485,117671,2626574,18648250958,666,6.80%
Dec-23,2023-12-19,28109,96359,2629259,13139674909,451,4.69%
Dec-23,2023-12-20,28006,102950,2633190,13562516756,490,4.85%
Dec-23,2023-12-21,28291,126044,2637660,18737163261,654,6.64%
Dec-23,2023-12-22,28610,134845,2641365,20974856321,749,7.36%
Dec-23,2023-12-23,28680,220649,2647818,35625160656,1226,12.49%
Dec-23,2023-12-24,28769,184714,2653966,27666891192,987,9.69%
Dec-23,2023-12-25,20953,186173,2660907,37430415131,910,17.98%
Dec-23,2023-12-26,26911,293630,2673951,29938080160,1162,11.20%
Dec-23,2023-12-27,28494,288911,2682129,21229642459,944,7.49%
Dec-23,2023-12-28,28184,121730,2686503,15659660692,547,5.58%
Dec-23,2023-12-29,28053,134731,2692118,16560337991,584,5.93%
Dec-23,2023-12-30,28577,165946,2699481,21334592363,744,7.53%
Dec-23,2023-12-31,28375,169164,2708426,21369206998,817,7.62%
Jan-24,2024-01-01,27113,169030,2714755,20969053582,733,7.85%
Jan-24,2024-01-02,28665,166361,2722809,18916709023,675,6.63%
Jan-24,2024-01-03,28312,130133,2726842,14671348049,579,5.22%
Jan-24,2024-01-04,28599,145884,2730551,16304104142,610,5.73%
Jan-24,2024-01-05,28596,137618,2734658,16266343793,589,5.73%
Jan-24,2024-01-06,28695,141579,2738864,17277790569,613,6.07%
Jan-24,2024-01-07,28529,113115,2743335,12578492951,469,4.44%
Jan-24,2024-01-08,28511,145132,2748946,17477323357,627,6.17%
Jan-24,2024-01-09,28704,170490,2753296,20731149601,736,7.27%
Jan-24,2024-01-10,28262,118668,2756256,13603526484,507,4.84%
Jan-24,2024-01-11,28178,114331,2759830,12876694921,481,4.59%
Jan-24,2024-01-12,28509,138288,2764967,14545247762,571,5.13%
Jan-24,2024-01-13,28695,203116,2772059,19081185699,767,6.70%
Jan-24,2024-01-14,28500,118878,2776554,12605969948,514,4.44%
Jan-24,2024-01-15,28676,153454,2781648,15716343346,637,5.52%
Jan-24,2024-01-16,28383,115618,2785131,11232638816,483,3.97%
Jan-24,2024-01-17,27945,94230,2788222,9420954868,315,3.38%
Jan-24,2024-01-18,27854,98467,2792556,9788699379,400,3.52%
Jan-24,2024-01-19,28208,138518,2796956,12785378568,511,4.55%
Jan-24,2024-01-20,28727,189773,2803404,20628979085,698,7.26%
Jan-24,2024-01-21,28730,223021,2811017,26264519368,1192,9.24%
Jan-24,2024-01-22,26871,166090,2817072,18957225010,674,7.11%
